month/day	retweet_count	favorite_count	vader compound	vader sentiment
2017-01-19	84547	466823	2.4754	positive
2017-01-20	415061	1878671	2.2815	positive
2017-01-21	23337	177579	0.8807	positive
2017-01-22	184236	949408	1.5419	positive
2017-01-23	26750	177839	0.4939	positive
2017-01-24	247498	1162781	1.6901000000000002	positive
2017-01-25	138054	761424	0.7526999999999997	positive
2017-01-26	128887	609647	-0.48779999999999996	negative
2017-01-27	168114	841537	1.4541	positive
2017-01-28	83334	465730	-0.5586	negative
2017-01-29	226253	968933	-1.5356	negative
2017-01-30	245492	1204423	0.34640000000000015	positive
2017-01-31	127197	739119	1.7904	positive
2017-02-01	118871	498034	-1.6234000000000002	negative
2017-02-02	182823	797156	2.3182000000000005	positive
2017-02-03	295322	1260900	0.1904	positive
2017-02-04	303496	1416658	-1.9295	negative
2017-02-05	167220	738458	1.5266	positive
2017-02-06	136518	674993	-2.5189	negative
2017-02-07	105285	453699	-1.6467	negative
2017-02-08	237692	1130053	1.8584999999999996	positive
2017-02-09	154951	712080	0.9583	positive
2017-02-10	81639	356367	-1.0906	negative
2017-02-11	139353	863381	4.2612000000000005	positive
2017-02-12	161655	813482	-0.42059999999999986	negative
2017-02-13	67830	399299	2.5341	positive
2017-02-14	64312	304269	-0.2649	negative
2017-02-15	259443	991177	0.1503000000000001	positive
2017-02-16	131743	657803	-1.4433000000000002	negative
2017-02-17	167460	860940	-0.41490000000000005	negative
2017-02-18	54270	285499	-0.22410000000000002	negative
2017-02-19	26224	112115	0.0	neutral
2017-02-20	115462	583930	2.4696	positive
2017-02-21	49748	225062	-0.8786	negative
2017-02-22	28352	195970	1.2002000000000002	positive
2017-02-23	41999	222647	-0.4215	negative
2017-02-24	95559	453095	-1.6991999999999998	negative
2017-02-25	179571	764233	3.1415999999999995	positive
2017-02-26	81258	415491	-1.597	negative
2017-02-27	41101	243029	1.7237999999999998	positive
2017-02-28	17548	118580	0.29600000000000004	positive
2017-03-01	27371	183969	0.3612	positive
2017-03-02	115833	571172	0.5394	positive
2017-03-03	199546	735429	-0.14650000000000007	negative
2017-03-04	261911	876769	-1.7940999999999998	negative
2017-03-05	92413	394988	1.5146	positive
2017-03-06	111979	548335	2.7539000000000007	positive
2017-03-07	137212	663145	0.32199999999999984	positive
2017-03-08	90386	465064	2.8327	positive
2017-03-09	47671	235193	2.1077	positive
2017-03-10	8650	42988	0.0	neutral
2017-03-11	16563	103623	0.5859	positive
2017-03-12	0	0	0.0	neutral
2017-03-13	60700	318317	0.7990999999999999	positive
2017-03-14	37082	162006	0.8885	positive
2017-03-15	149572	697824	1.791	positive
2017-03-16	62349	336830	3.4208000000000003	positive
2017-03-17	52830	256163	2.4773	positive
2017-03-18	40527	182202	1.4956	positive
2017-03-19	7472	36626	0.0	neutral
2017-03-20	134019	635938	0.7797999999999995	positive
2017-03-21	35898	170035	1.5424	positive
2017-03-22	32850	207595	-0.6294	negative
2017-03-23	70348	330777	-0.13249999999999995	negative
2017-03-24	59075	286263	1.7042	positive
2017-03-25	68203	341364	2.0294	positive
2017-03-26	36909	172897	1.5957	positive
2017-03-27	71328	291488	1.4503	positive
2017-03-28	88154	384920	1.064	positive
2017-03-29	71765	341680	0.2972999999999999	positive
2017-03-30	80933	376366	0.5030999999999999	positive
2017-03-31	84110	388596	2.8615999999999997	positive
2017-04-01	110948	443707	-1.1215000000000002	negative
2017-04-02	76513	349293	1.2378	positive
2017-04-03	127225	513236	2.8213	positive
2017-04-04	27006	136232	1.6025	positive
2017-04-05	36159	150880	0.8969	positive
2017-04-06	10767	60570	0.7783	positive
2017-04-07	0	0	0.0	neutral
2017-04-08	75422	414178	3.6500999999999997	positive
2017-04-09	40537	206004	0.031600000000000183	positive
2017-04-10	32491	169072	1.8378	positive
2017-04-11	99680	361060	2.9204	positive
2017-04-12	104386	518041	3.7817000000000003	positive
2017-04-13	65546	299979	2.3925	positive
2017-04-14	7089	33563	0.0	neutral
2017-04-15	0	0	0.0	neutral
2017-04-16	122907	593988	0.6186	positive
